Teks;Media;Label
"Timnas Indonesia berhasil menjadi juara sepak bola SEA Games 2023. Mimpi besar Indra Sjafri untuk membawa Garuda meraih medali emas kini telah menjadi nyata.

Timnas U22 Indonesia besutan Indra Sjafri tampil sebagai juara cabang sepak bola putra SEA Games 2023 Kamboja usai mengalahkan Thailand pada laga final, Selasa (16/5/2023) malam WIB.

Bertanding di Olympic Stadium, Phnom Penh, Indonesia sukses menumbangkan Thailand dengan skor 5-2 melalui babak extra time.

Ujung tombak timnas U22 Indonesia, Ramadhan Sananta, tampil tajam dengan mencetak dua gol yakni pada menit ke-21 dan 45+5.

Tiga gol skuad Garuda Muda lainnya dibukukan oleh Irfan Jauhari (91'), Fajar Fathur Rahman (107'), dan Beckham Putra Nugraha (120').

Sementara itu, gol-gol balasan Thailand dicetak Anan Yodsangwal pada menit ke-65 dan Yotsakorn Burapha menit ke-90+7.

Kemenangan atas Thailand membuat Indonesia menjadi juara sepak bola putra SEA Games 2023 dan berhak atas medali emas.

Adapun medali perunggu menjadi milik Vietnam yang menang 3-1 atas Myanmar pada laga perebutan tempat ketiga.

Indra Sjafri mewujdukan mimpi

Membawa timnas Indonesia meraih medali emas adalah mimpi terbesar seorang Indra Sjafri.

""Impian terbesar saya, satu lolos kualifikasi AFC (Piala Asia). Yang kedua medali emas SEA Games. Itu impian terbesar saya. Karena dari tahun 1991 tidak pernah medali emas. Ini saya ingin medali emas,"" kata Indra dalam wawancara dengan Kompas.com dan Bolasport.com pada 2019 silam.

Wawancara tersebut dilakukan setelah Indra Sjafri mengantar timnas U22 Indonesia mejuarai Piala AFF U22 2019 di Kamboja.

Gelar itu belum membuat Indra puas. Pria kelahiran Kabupaten Pesisir Selatan, Sumatera Barat, itu ingin membawa skuad Garuda meraih gelar yang sudah lama didamba yaitu medali emas SEA Games.

Sebelum ini, timnas Indonesia memang sudah lama tak merasakan gelar juara sepak bola SEA Games.

Kali terakhir Garuda berjaya pada pesta olahraga negara-negara Asia Tenggara tersebut adalah pada edisi 1991 di Filipina.

Kini, Indra Sjafri telah mewujdukan salah satu mimpi terbesarnya.

Di bawah asuhan Indra, timnas U22 Indonesia mampu membawa pulang medali emas SEA Games 2023.

Skuad Garuda pun mengakhiri puasa medali emas SEA Games yang telah berlangsung selama 32 tahun.";Kompas;olahraga
"Pebalap MotoGP, Valentino Rossi, menulai sudah sepatutnya Yamaha membuat keputusan terbaik untuk lebih berfokus kepada Fabio Quartararo.

Kontrak Fabio Quartararo bersama Yamaha telah diperpanjang sampai 2022.

Fabio Quartararo yang saat ini memperkuat Petronas Yamaha SRT (tim satelit Yamaha) akan menggeser posisi Valentino Rossi di tim pabrikan mulai tahun 2021.

Rider Perancis itu nantinya akan berduet dengan Maverick Vinales di tim utama Yamaha.

Valentino Rossi menanggapi keputusan tim asal Jepang itu dalam memperpanjang kontrak Quartararo.

""Yamaha membuat keputusan tepat untuk fokus ke Quartararo. Saya sudah mengatakannya bahwa tahun lalu itu mengesankan,"" kata Rossi dilansir BolaSport dari Tuttomotoriweb.

""Kemenangan (Quartararo) itu tidak datang kepadanya karena Marquez ada di level lain,"" imbuhnya.

Pebalap berjulukan The Doctor itu pun berkomentar kedatangan Jorge Lorenzo sebagai test rider Yamaha.

""Itu sempurna bagi saya bahwa Lorenzo kembali. Saya banyak bersikeras dengan Yamaha untuk mendatangkannya kembali. Saya yakin dengan M1 dia akan cepat dan seperti ini,"" ujar Rossi.

Selain membahas soal keputusan Yamaha merekrut Fabio Quartararo, ia juga mengungkapkan rasa bahagianya karena masih bisa mencetak rekor di MotoGP.

Rossi dan pebalap MotoGP lainnya baru saja menyelesaikan tes pramusim MotoGP 2020 selama tiga hari di Sirkuit Sepang pada 7-9 Februari lalu.

Pada hari ketiga, Minggu (9/2/2020), Rossi mencetak waktu putaran terbaik 1 menit 58,541 detik.

Catatan waktu itu menjadi rekor Rossi di Sirkuit Sepang karena lebih baik dari saat Kualifikasi MotoGP Malaysia 2019, yakni 1 menit 59,000 detik.

Meski tidak bisa menjadi yang tercepat, Rossi mengaku bangga dengan catatan waktu yang ia torehkan.

Rossi menilai catatan waktu itu menjadi pembuktian. Sebab, dia dianggap sudah habis karena telah berusia 41 tahun.

""Tes selama tiga hari yang bagus di Malaysia. Posisi kelima secara keseluruhan dan untuk pertama kalinya saya melewati 1:59 dalam karier saya,"" ujar Rossi.

""Merupakan hal yang menyenangkan untuk mengetahui bahwa Anda masih bisa bertambah cepat meski Anda sudah sangat tua!"" katanya.

Sejauh ini, masa depan Rossi di MotoGP masih menjadi tanda tanya karena belum menemui kata sepakat dengan Yamaha soal perpanjangan kontrak.

Kontrak Rossi di Yamaha tersisa satu tahun lagi atau akan berakhir musim ini. (Fauzi Handoko Arif)";Kompas;olahraga
"Timnas U23 Indonesia, satu-satunya tim debutan di Piala Asia U23 2024, mencetak sejarah usai lolos ke perempat final.

Kepastian Indonesia melaju ke babak delapan besar Piala Asia U23 2024 didapat setelah mengalahkan Yordania pada laga terakhir Grup A.

Pertandingan Yordania vs Indonesia di Stadion Abdullah bin Khalifa, Doha, Qatar, Minggu (21/4/2024) malam WIB, tuntas dengan skor 1-4.

Dua gol kemenangan Indonesia diborong Marselino Ferdinan (23'-penalti, 70'), sedangkan sepasang gol lainnya dicetak Witan Sulaeman (40') dan Komang Teguh (86').

Adapun gol Yordania hadir karena gol bunuh diri Justin Hubner pada menit ke-79. Hasil ini membuat Indonesia finis sebagai runner-up Grup A dengan 6 poin.

Indonesia menemani Qatar yang lolos ke perempat final sebagai juara grup. Qatar menutup penampilan di fase grup dengan hasil imbang tanpa gol melawan Australia.

Indonesia nyaris mencetak gol saat pertandingan baru berjalan tiga menit. Witan Sulaeman mendapatkan bola di sisi kanan penyerangan.

Witan lantas menggiring bola ke dalam kotak penalti sebelum memberikan umpan ke Rafael Struick. Namun, tembakan Struick bisa ditepis kiper Yordania, Ahmad Al Juaidi.

Serangan balik membuat Yordania hampir menjebol gawang Indonesia pada menit ke-11. Akan tetapi, tendangan Baker Kalbouneh melebar ke sisi kiri.

Empat menit kemudian, Struick kembali mengancam pertahanan Yordania. Tembakannya kali ini juga masih bisa digagalkan Al Juaidi.

Upaya Garuda Muda untuk mencetak gol akhirnya berhasil. Pergerakan Struick membuat bek Yordania, Amer Jamous, melakukan pelanggaran di kotak terlarang.

Jamous menjatuhkan Struick sehingga menghasilkan penalti untuk Indonesia. Marselino Ferdinan maju sebagai eksekutor dan berhasil mengecoh kiper Yordania.


Marselino melepaskan tembakan ke pojok bawah kanan gawang saat Al Juaidi bergerak ke sisi kiri. Indonesia pun unggul 1-0 pada menit ke-23.

Witan Sulaeman mendapat kesempatan dari tendangan bebas 10 menit kemudian. Namun, tembakannya melambung di atas mistar.

Kegagalan itu terbayar pada menit ke-40 saat Witan melepaskan tendangan melengkung yang menembus gawang Yordania usai menerima servis dari Rizky Ridho.";Kompas;olahraga
"Manchester United harus memastikan kemenangan atas Coventry City di semifinal Piala FA lewat adu tendangan penalti pada Minggu (21/4/2024).

Man United sebetulnya unggul 3-0 lewat gol-gol Scott McTominay (23'), Harry Maguire (46'), dan Bruno Fernandes (58').

Akan tetapi, Coventry City bangkit dari ketertinggalan memasuki menit ke-70.

Kubu papan tengah Divisi Championship tersebut mencetak gol melalui Ellis Sims (71'), Callum O'Hare (79'), dan penalti dramatis dari Haji Wright (90+4').

Coventry sempat mencetak gol secara sangat dramatis pada detik akhir babak perpanjangan waktu lewat Victor Torp.

Hanya, VAR melakukan ulasan dan menilai bahwa Haji Wright yang terlibat dalam proses gol telah berada dalam psosisi offside sebelumnya.

Dalam adu penalti yang menyusul, tendangan pertama Man United yang diambil Casemiro ditahan oleh kiper Coventry.

Kendati demikian, Andre Onana menahan tendangan Callum O'Hare dan kapten Coventry, Ben Sheaf, menendang ke langit.

Rasmus Hojlund memastikan kemenangan Setan Merah lewat golnya sebagai penendang pamungkas Setan Merah.

Adu tendangan penalti:

Casemiro (ditahan kiper)

Haji Wright (gol)

Diogo Dalot (gol)

Victor Torp (gol)

Christian Eriksen (gol)

Callum O'Hare (ditahan kiper)

Bruno Fernandes (gol)

Ben Sheaf (terlalu tinggi)

Rasmus Hojlund (gol)

Berkat hasil ini, Man United akan bertemu dengan teteangga mereka, Manchester City, di final Piala FA.";Kompas;olahraga
"Qualifier 1 Magnus Iron Games yang berlangsung di Gandaria City, Jakarta Barat telah telaksana pada 24 dan 25 Februari 2024.

Acara ini menciptakan satu sejarah baru, yakni gelaran pertandingan powerlifting yang diikuti untuk masyarakat umum terbesar di Indonesia.

Founder Magnus Iron Games Hans Krisna mengatakan bahwa acara ini membuka peluang bagi masyarakat umum untuk menjadi profesional di bidang powerlifting.

""Tujuannya untuk para amatir powerlifting berkesempatan untuk tanding di level internasional, karena itu kita sediakan acara ini,"" ujar Hans, Minggu (25/2/2024).

""Karena biasanya level powerlifting internasional hanya bisa diikuti oleh atlet dan dengan mengikuti event ini, mereka bisa juga diakui secara internasional,"" jelasnya.

Kegiatan yang diselenggarakan di Gandaria City ini terhubung dengan federasi internasional, yaitu International Powerlifting Association (IPA).

""Kami berkomunikasi dengan federasi internasional namanya Internasional Powerlifting Association atau IPA. Jadi, kita memang kerjasama dengan federasi internasional,"" ujar Hans.

""Kalau di Indonesia tidak ada dan justru kita membuat federasi sendiri yang terafiliasi dengan luar,"" tuturnya.

Qualifier pertama diikuti oleh 150 pesertya yang dibagi menjadi enam flight bertanding bagi pria, yakni U67.5, U75, U82.5, U90, U100, dan U100+.

Tidak hanya diikuti oleh kategori pria, tetapi juga dilibatkan pertandingan bagi wanita.

Pada nomor wanita terdapat dua flight, yakni U60 dan U60+.

Pemenang yang lolos tahap ini akan terus bertanding hingga tingkat nasional.

Bagi mereka yang berhasil menjadi juara akan mendapat hadiah serta tiket untuk berkompetisi di kancah internasional.

""Kita akan buat qualifier setahun empat kali. Jadi, yang lolos di sini nanti berhak ikut di kejuaran yang tingkatannya nasional dan yang sudah juara nasional bisa kita kirim ke luar negeri untuk tanding mewakili Indonesia,"" kata Hans.

Selanjutnya qualifer Magnus Iron Games akan direncakan untuk hadir di kota lainnya, adapun target besarnya Bali, Surabaya, dan Semarang.";Kompas;olahraga
"Target perolehan medali Indonesia di Olimpiade Paris 2024 baru akan ditetapkan setelah semua cabang olahraga selesai menjalani kualifikasi.

Hal tersebut disampaikan Ketua Umum Komite Olimpiade Indonesia (KOI), Raja Sapta Oktohari.

Raja menyampaikannya dalam acara Buka Bersama NOC Indonesia bertema ""72 Tahun Menjaga Merah Putih bersama Komite Olimpiade Indonesia"" pada Kamis (28/3/2024), di Jakarta.

""Target nanti dulu, setelah proses kualifikasi tuntas baru kita bisa menetapkan target, karena yang paling penting bisa lolos kualifikasi dulu,"" ujar Raja, dikutip dari Antara.

Tercatat sudah ada sembilan atlet yang sudah memastikan diri lolos ke Olimpiade Paris 2024 mendatang.

Mereka adalah Lalu Muhammad Zohri dan Odekta Nabaho (lari), Arif Dwi Pangestu (panahan), Diananda Choirunisa (panahan), dan Rifda Irfanaluthfi (senam artistik).

Fathur Gustafian (menembak), Rahmad Adi Mulyono (panjat tebing), dan Desak Made Rita (panjat tebing) juga telah menyegel tiket ke Olimpiade 2024.

Atlet selancar, Rio Waida, mengamankan satu tempat di Paris melalui ajang Kualifikasi Isa World Surfing Games 2024 di Puerto Rico.

Sementara itu, salah satu cabang olahraga yang menjadi favorit masyarakat Indonesia, yakni bulu tangkis masih dalam proses perhitungan poin hingga turnamen 24 April 2024.

""Jadi teman-teman masih terus berjuang,"" ujar Raja.

Perhitungan target jumlah medali akan dilakukan setelah semua cabang olahraga selesai mengikuti kualifikasi dengan harapan semakin banyak atlet lolos dan bisa bertanding.

""Makanya cita-cita kita di Olimpiade Paris 2024 harus bisa lebih sering menyanyikan lagu Indonesia Raya,"" tutur Raja Sapta Oktohari.

Pada Olimpiade Tokyo 2020, Indonesia mengirimkan 28 atlet dari 8 cabang olahraga.

Indonesia menempati peringkat ke-55 pada Olimpiade Jepang 2020 dengan catatan 1 emas, 1 perak, dan 3 perunggu.

Medali emas dipetik dari cabor bulu tangkis melalui nomor ganda putri Greysia Poli/Apriyani Rahayu.

Eko Yuli Irawan berhasil menyumbangkan satu medali perak di cabor angkat besi. Angkat besi juga memberikan 2 medali perunggu melalui atlet Windy Cantika Aisah dan Rahmat Erwin Abdullah.

Satu medali perunggu terakhir diperoleh dari tunggal putra bulutangkis, Anthony Sinisuka Ginting.";Kompas;olahraga
"Atlet rowing Indonesia, La Memo, berhasil memastikan tiket ke Olimpiade Paris 2024 saat tampil di nomor MX1 Asian Rowing Olympic Qualification Regatta, Chenhju, Korea Selatan.

La Memo finis di urutan kedua dengan catatan waktu 6:59,74 detik, sementara peringkat pertama atlet dayung Kazakhstan, Vladislav Yakovlev yang berselisih 0,28 detik.

""Memo memang sudah kami persiapkan dan mencapai catatan waktu terbaik di heat sampai di semifinal dia terbaik kedua,"" kata Budiman Setiawan, Wakil Ketua Umum Pengurus Besar Persatuan Olahraga Dayung Seluruh Indonesia (PB PODSI).

""Di final dia finis kedua dan hanya selisih 0, 28 sekian detik dari atlet Kazhakstan. Di nomor ini yang diambil 5 terbaik untuk lolos ke Paris 2024,""ujarnya menambahkan.

Budiman menambahkan, untuk cabang rowing masih memiliki kesempatan terakhir untuk berebut tiket ke Paris 2024 pada Final Olympic Qualification Rowing di Swiss pada 19 hingga 21 Mei mendatang.

""Di Swiss nanti Indonesia akan turun di empat nomor, LM2x, LW2x, M2x, M4-. Peluang masih ada, semoga masih ada yang lolos,"" imbuhnya.

Untuk Memo, ini jadi kali kedua berturut-turut penampilannya sejak pertama kali olahraga rowing dimainkan di Rio de Janeiro Hasilnya, atlet 29 tahun itu finis di ranking 16 nomor Men's Single Sculls.

Ketua Umum Komite Olimpiade Indonesia (NOC Indonesia), Raja Sapta Oktohari menyambut Memo lolos ke Olimpiade Paris 2024 dengan bahagia.

Lebih lanjut, Okto berharap agar makin banyak atlet yang akan mengikuti jejak atlet rowing asal Maluku itu untuk tampil di Olimpiade Paris 2024.

""Alhamdulillah, satu lagi atlet kebanggaan Indonesia lolos Olimpiade Paris 2024. Saya melihat sendiri perjuangan Memo waktu di Rio 2016. Semoga di Paris 2024 Memo bisa tampil maksimal untuk Merah Putih,"" sebut Okto, sapaan akrab Raja Sapta Oktohari.

Lolosnya Memo membuat Tim Indonesia secara resmi memiliki 10 atlet yang telah memastikan jalan ke Olimpiade 2024 Paris.

Mereka adalah dua atlet dari panahan, Fathur Gustafian dari menembak, Rifda Irfanaluthfi di nomor all araound senam, Rio Waida dari cabor surfing, Rahmad Adi Mulyono dan Desak Made Rita Kusuma Dewi dari sports climbing, serta dua atlet angkat besi, Eko Yuli Irawan (61kg) dan Rizky Juniansyah (73kg).

Kini, sejumlah atlet bulutangkis, angkat besi dan balap sepeda tengah menunggu pernyataan resmi dari federasi internasional masing-masing.

Tak hanya itu, cabang olahraga, atletik, renang, kano, judo dan sepak bola, panjat tebing juga masih berjuang untuk meraih tiket ke Paris 2024.

""Kita doakan dan minta dukungan kepada seluruh masyarakat Indonesia untuk para atlet kita yang masih berjuang. Mari bergandeng tangan untuk menjaga Merah Putih melalui olahraga di mata dunia,"" ujar Okto.";Kompas;olahraga
"Atlet bodybuilding berbakat Indonesia Isai Orelai Sumanti Kesek berhasil menginspirasi banyak orang berkat kegigihannya.

Lahir dari keluarga petani sederhana di Desa Tewasen, Kabupaten Minahasa Selatan, Sulawesi Utara, tak menyurutkan semangat Isai untuk meraih mimpi.

Sejak usia muda, bungsu dari dua bersaudara itu telah menunjukkan minat besar terhadap dunia olahraga kebugaran.

""Saya terjun ke olahraga itu pertama kali saat diajak oleh guru sekolah yang rajin berolahraga di pusat kebugaran (gym),"" cerita Isai dalam keterangan tertulis yang diterima Kompas.com, Minggu (24/3/2024).

Fitness berhasil membentuk tubuh pria kelahiran 17 Mei 1998 menjadi lebih baik dan menarik. Isai pun mencoba ikut serta dalam kompetisi lokal bodybuilding. Sejak itu, Isai menjadi semakin semangat dan fokus di dunia bodybuilding.

""Saya banyak mengalami kegagalan pada 2018-2019, bahkan berhenti kompetisi akibat pandemi Covid-19,"" ujar Isai.

Namun, hal itu tidak membuat Isai menyerah. Hingga pada 2022, ia berhasil meraih enam kali juara 1 pada kompetisi Men's Physique Nasional Indonesia.

Prestasi tersebut juga membuka jalan bagi Isai untuk menjadi ambassador berbagai produk di bawah supervisi Richard Gautama. Ia adalah mentor yang secara konsisten memberikan dukungan serta motivasi untuk mengembangkan potensi dan karier Isai.

Pencapaian Isai tidak berhenti di situ. Ia melanjutkan langkah ke panggung internasional hingga berhasil meraih lima medali emas di berbagai kelas Men's Physique di Thailand.

Isai juga mendapatkan kartu profesional di federasi tertinggi dunia, yakni The International Federation of Bodybuilding and Fitness Professional League (IFBB Pro League), untuk mewakili Indonesia.

Dari situ, ia fokus pada kompetisi di Auckland, Selandia Baru, hingga berhasil membawa pulang medali emas.

Capaian itu juga menjadi tiket menuju Olympia—kompetisi tertinggi di dunia bodybuilding di bawah federasi IFBB Pro League. Berkompetisi di Olympia menjadi impian besar yang akan diwujudkan Isai pada oktober 2024.

Kesuksesan Isai di dunia bodybuilding juga didukung Evogen Nutrition, suplemen yang dikembangkan seorang atlet dan pelatih profesional, Hany Rambod.

Untuk diketahui, Evogen Nutrition menghadirkan produk-produk berkualitas premium dengan formulasi teruji klinis yang dapat membantu para atlet untuk mencapai performa terbaik mereka.

Kehadiran Evogen di Indonesia diharapkan dapat memberikan kontribusi positif bagi para atlet dan penggemar olahraga Tanah Air.

Berbagai pencapaian gemilang Isai bukan hanya membanggakan Indonesia, melainkan juga menjadi inspirasi bagi generasi muda untuk mengejar mimpi di bidang olahraga. Ia juga berpesan kepada seluruh atlet Indonesia untuk terus semangat.

""Tetap semangat, fokus, dan konsisten untuk meraih mimpi kalian di dunia olahraga, terutama bodybuilding, agar bisa membawa nama indonesia ke kancah internasional,"" ujar olahragawan yang memiliki akun Instagram @isai_kesek itu.";Kompas;olahraga
"Fun Volleyball yang mempertemukan Indonesia All Stars dan Red Sparks berlangsung sengit dan menyenangkan di Indonesia Arena GBK pada Sabtu (20/4/2024) malam WIB.

Klub asal Korea Selatan mengunci kemenangan 3-2 setelah melewati persaingan sengit kontra skuad Merah Putih dengan skor akhir 25-17, 25-15, 19-25, 18-25 dan 15-12.

Duel Indonesia All Stars melawan Red Sparks berlangsung alot di awal set pembuka. Kedua tim saling terlibat drama kejar-mengejar skor hingga kedudukan 6-6.

Atlet voli Indonesia Megawati Hangestri yang memperkuat tim besutan Ko Hee-jin sempat mencoba menjadi momok buat pasukan Merah Putih sendiri. Kendati begitu, Ratri Wulandari bersama kolega mampu tampil spartan dan unggul 3 angka dengan 9-6.

Red Sparks sedikit demi sedikit mulai mengejar ketertinggalan. Jung Ho-young melepas smash keras yang membuat skor sementara kembali berimbang 10-10. Kedua tim masih sama kuat hingga kedudukan 15-15.

Red Sparks baru mulai menujukkan dominasinya mendekati akhir set pertama. Block Jung Ho-young mematahkan upaya Indonesia All Stars, sekaligus membawa skuad Korea Selatan memimpin empat angka dengan 15-19.

Jung Ho-young terus tampil sebagai sosok penting yang menjaga keunggulan timnya hingga akhir set. Pemain bernomor punggul 17 itu menorehkan angka pemungkas guna memastikan kemenangan 17-25 Red Sparks atas Indonesia All Stars.";Liputan6;olahraga
"Gregoria Mariska Tunjung mengenang momen berat yang sempat ia hadapi di tahun 2021 usai keberhasilannya memastikan tiket lolos ke Olimpiade Paris 2024.

Gregoria berhasil mengamankan satu tiket ke Paris 2024. Dengan demikian, Gregoria jadi salah satu dari enam wakil Indonesia di cabang olahraga badminton.

Gregoria mengakui bahwa keberhasilan lolos ke Paris kali ini bisa dibilang jauh lebih baik dibandingkan saat ia berhasil tampil di Olimpiade Tokyo. Selain itu, Gregoria juga senang bisa melalui perjuangan berat di 2021.

""Lega, karena sudah selesai kualifikasi. Aku merasa di 2021, setelah main Olimpiade berat. Bukan berat untuk capai. Jalan bakal berat, karena di saat itu aku enggak di kondisi mental yang bagus. Bisa dibilang kehilangan percaya diri.""

""Saat aku lolos di sini, dengan hasil-hasil sebelumnya, aku cukup bersyukur sih. Maksudnya berat yang aku bayangkan di tahun 2021 itu aku bisa lalui. Lebih kayak menghargai prosesnya. Karena main di Olimpiade (2020) aku qualified bukan karena bagus, gitu lho kek karena ranking doang [masuk kualifikasi]. Kepotong pandemi juga enggak ngapa-ngapain setahun, main Olimpiade jadi apa yang aku rasakan itu kurang puas,"" tutur Gregoria.

Dalam perjalanan menuju Olimpiade kali ini, Gregoria menunjukkan perkembangan yang signifikan dibandingkan empat tahun lalu. Gregoria bahkan sempat melesat ke peringkat tujuh dunia.







Selain itu, Gregoria juga bisa menunjukkan peningkatan kualitas. Ia mulai bisa mengalahkan sejumlah pebulutangkis papan atas seperti Akane Yamaguchi dan Chen Yufei.

Modal itulah yang bakal dibawa Gregoria ke Olimpiade Paris 2024. Walaupun dalam perjalanannya ia tak dibebani beban berat, Gregoria punya tekad kuat untuk mengukir prestasi.

""Dari 2021 jujur aku sangat tidak ditekan karena orang-orang tahun kondisi aku. Termasuk pelatih. Bahkan itu aku yang dampingi kak Rionny aku bahkan dari pelatih enggak ada tekanan pastinya. Beda tekanan dengan sekarang di top 10 pasti. Jangankan orang lain, aku sendiri berusaha dapat medali di sana,"" tutur Gregoria.



";CNNIndonesia;olahraga
